gene	H2621_L	HP25311_L	HP25337_L	HU1327_L	UWHI366R_L	H2621_H	HP25311_H	HP25337_H	HU1327_H	UWHI366R_H
PSMA4	6.968578284	6.537004031	3.680727792	5.462209889	6.527065183	7.011663163	7.066981262	4.682182174	5.048926413	6.945533571
POLR3K	2.360638381	3.235229848	1.351882338	2.542960751	2.254518042	2.34345297	3.14743731	2.329936723	2.697518378	2.225431353
C3orf18	1.195244551	1.689451128	1.080238955	1.960180517	1.423902104	0.928627027	1.917334227	1.052452553	1.418477963	1.649889233
PDE8A	11.08593052	9.231940038	10.74455589	9.9809127	11.19664614	11.60110641	9.304473488	11.09940716	10.27337878	9.570757208
HIST1H4F	2.625945768	0.69393491	1.1179407	2.108380717	2.734418668	0.800643504	0.739807419	1.243392084	5.086282456	3.357139969
KPNA2	20.41504394	12.58202733	12.02651155	13.93106589	15.22462772	19.03853293	10.65812261	15.43048564	12.19150298	15.58095024
ZCCHC10	4.211763153	5.04323969	3.678427922	4.69829935	4.881826651	5.195633582	4.91354461	4.545786889	4.355638391	5.171258426
NAGK	4.406649199	4.50757093	2.456158482	3.60371153	4.169283308	4.186000303	4.617244679	4.438043587	3.761056813	3.451270537
TBL2	7.368451143	6.658739972	2.959754816	6.043615902	8.783083563	7.592067601	6.14881014	4.558426555	6.464811925	8.090050363
LHX4-AS1	1.163512811	1.025432246	0.295041476	1.170678466	1.119384514	1.244600455	1.273538877	1.01021383	1.014181046	0.81350915
SLC30A7	11.78132002	7.044978555	4.162897649	6.704802665	10.5398058	11.45555421	7.048490191	6.87276449	6.801613055	9.308370051
MDM1	1.232028387	1.129517398	0.527042065	0.984911592	0.953121953	1.003870866	1.317181714	1.133819877	0.944534825	0.915939959
MIS18A	3.419527899	3.163319435	2.549919922	2.082819274	2.685356703	3.526777156	2.236517922	2.414541364	2.787109312	2.224271328
COL15A1	2.535546205	15.93485078	27.59478491	35.00238348	7.48672286	3.058491301	14.69337246	20.10932844	37.57321203	7.644087811
NR2C1	4.065707376	4.004027292	2.185455041	3.898219446	3.937298341	3.629340034	4.529525452	2.029781337	4.378955998	3.254703895
BROX	14.99541967	15.4449169	9.975734235	16.16758599	14.68459408	15.20608287	15.10378782	13.3377277	15.5184782	15.59268743
RBFOX2	10.13014093	11.54118905	6.03702147	12.4527792	9.46855393	9.700225181	10.6498957	7.50638563	11.28695757	9.030363882
STX4	8.82892558	8.100740072	6.490474682	7.55094972	8.584604463	9.205774969	7.190003351	6.254036333	7.458503108	8.837604883
C1orf106	13.11351852	2.140764304	3.010045324	1.048130703	7.022372632	12.48152743	2.450834784	2.018852619	1.085042692	7.125520255
ZNF280C	2.243392651	2.588999862	1.255614148	2.435683899	2.423145245	2.117715078	2.173671219	3.572538677	2.441001539	2.162798325
CYTH2	7.929544545	6.629564927	4.687299783	5.903948274	5.897479779	7.548792659	7.023447648	4.693059419	6.238594864	5.24966218
ST6GALNAC1	0.352584119	0.650746377	1.868048443	0.092663942	0.210312358	0.193191838	0.615867613	1.012584941	0.478895037	0.151886897
MASTL	5.488671143	5.274857081	3.817205791	4.902332638	5.199003329	5.710696534	4.113341513	7.295031236	4.725312634	5.579531378
ZNF883	0.922159643	0.839379349	0.731218891	0.947248415	0.909572346	1.30023836	0.90480941	0.562100759	1.182430867	0.875322744
ENO1	281.4898141	239.6167449	234.5426549	227.0034287	294.6174053	290.8842158	247.7328051	210.790812	212.0648978	299.942615
